"data";"volumes";"observation";"dilution";"deviation";"heats"
1;0,002;-6,517257074589e-06;-5,2389e-05;1e-07;4,5871742925411e-05
2;0,01;-0,000151438736532649;-0,00032246;1e-07;0,000171021263467351
3;0,01;-0,00016453841844294;-0,00031286;1e-07;0,00014832158155706
4;0,01;-0,000161021177079884;-0,00030326;1e-07;0,000142238822920116
5;0,01;-0,000154804036445009;-0,00029366;1e-07;0,000138855963554991
6;0,01;-0,000151533804078228;-0,00028406;1e-07;0,000132526195921772
7;0,01;-0,000146213205045398;-0,00027446;1e-07;0,000128246794954602
8;0,01;-0,000143583433157648;-0,00026486;1e-07;0,000121276566842352
9;0,01;-0,000141513021082991;-0,00025526;1e-07;0,000113746978917009
10;0,01;-0,000140588616129308;-0,00024566;1e-07;0,000105071383870692
11;0,01;-0,000135104303020131;-0,00023606;1e-07;0,000100955696979869
12;0,01;-0,000133454602571643;-0,00022646;1e-07;9,3005397428357e-05
13;0,01;-0,000132947551165801;-0,000216860000000001;1e-07;8,39124488342e-05
14;0,01;-0,000125990775128738;-0,000207259999999999;1e-07;8,1269224871261e-05
15;0,01;-0,000123206810692538;-0,00019766;1e-07;7,4453189307462e-05
16;0,01;-0,000120219301079614;-0,00018806;1e-07;6,7840698920386e-05
17;0,01;-0,00011754345679276;-0,00017846;1e-07;6,091654320724e-05
18;0,01;-0,000114573554745616;-0,00016886;1e-07;5,4286445254384e-05
19;0,01;-0,000111953887888368;-0,00015926;1e-07;4,7306112111632e-05
20;0,01;-0,000109580189355709;-0,00014966;1e-07;4,0079810644291e-05
21;0,01;-0,00010530631504981;-0,00014006;1e-07;3,475368495019e-05
22;0,01;-0,000103649711261534;-0,000130460000000001;1e-07;2,6810288738467e-05
23;0,01;-0,000100015049325491;-0,000120860000000001;1e-07;2,084495067451e-05
24;0,01;-9,84498929410612e-05;-0,000111259999999998;1e-07;1,28101070589368e-05
25;0,01;-8,97295449532083e-05;-0,000101660000000001;1e-07;1,19304550467927e-05
