"tot"	"tot"
"PRZ"	"ALB"
"0"	"0.0001634"
"1.110931E-005"	"0.00016307"
"6.654343E-005"	"0.0001614195"
"0.0001214165"	"0.0001597857"
"0.0001757341"	"0.0001581685"
"0.000229502"	"0.0001565676"
"0.0002827256"	"0.0001549829"
"0.0003354106"	"0.0001534142"
"0.0003875623"	"0.0001518614"
"0.0004391862"	"0.0001503244"
"0.0004902875"	"0.0001488029"
"0.0005408717"	"0.0001472968"
"0.0005909438"	"0.0001458059"
"0.0006405092"	"0.0001443301"
"0.0006895729"	"0.0001428693"
"0.00073814"	"0.0001414233"
"0.0007862155"	"0.0001399919"
"0.0008338045"	"0.0001385749"
"0.0008809118"	"0.0001371723"
"0.0009275422"	"0.000135784"
"0.0009737007"	"0.0001344096"
"0.001019392"	"0.0001330492"
"0.001064621"	"0.0001317026"
"0.001109392"	"0.0001303695"
"0.00115371"	"0.00012905"
"0.001197579"	"0.0001277438"
